Gene	Category	SuperPathway	SubPathway	KOAnnot
K12702	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novI; novobiocin biosynthesis protein NovI
K12703	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novJ; novobiocin biosynthesis protein NovJ
K12704	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novK; novobiocin biosynthesis protein NovK
K12705	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novO; 8-demethylnovobiocic acid C8-methyltransferase
K12707	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novQ cloQ; 4-hydroxyphenylpyruvate 3-dimethylallyltransferase
K12708	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novR; novobiocin biosynthesis protein NovR
K12709	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novL; 8-demethylnovobiocic acid synthase
K12710	Metabolism	Metabolism of terpenoids and polyketides	Polyketide_sugar_unit_biosynthesis	novU; novobiocin biosynthesis protein NovU
K12711	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novM; L-noviosyl transferase
K12712	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novP; demethyldecarbamoylnovobiocin O-methyltransferase
K12713	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	novN; decarbamoylnovobiocin carbamoyltransferase
K12714	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	clohal; clorobiocin biosynthesis protein Clo-hal
K12715	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloL; clorobiocin biosynthesis protein CloL
K12717	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloM; clorobiocin biosynthesis protein CloM
K12718	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloP; clorobiocin biosynthesis protein CloP
K12719	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN4; clorobiocin biosynthesis protein CloN4
K12720	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN5; clorobiocin biosynthesis protein CloN5
K12721	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN3; clorobiocin biosynthesis protein CloN3
K12722	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN6; clorobiocin biosynthesis protein CloN6
K12723	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN2; clorobiocin biosynthesis protein CloN2
K12724	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	cloN7; clorobiocin biosynthesis protein CloN7
K12725	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	couL; coumermycin A biosynthesis protein CouL
K12726	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	couM; coumermycin A biosynthesis protein CouM
K12727	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis	couP; coumermycin A biosynthesis protein CouP
K12729	Metabolism	Biosynthesis of other secondary metabolites	Caffeine_metabolism	XMT; 7-methylxanthosine synthase
K12730	Metabolism	Biosynthesis of other secondary metabolites	Caffeine_metabolism	MXMT; theobromine synthase
K12731	Metabolism	Biosynthesis of other secondary metabolites	Caffeine_metabolism	DXMT; caffeine synthase
K12732	Metabolism	Amino acid metabolism	Phenylalanine_metabolism	ARO10; phenylpyruvate decarboxylase
K12733	Genetic Information Processing	Transcription	Spliceosome	PPIL1; peptidyl-prolyl cis-trans isomerase-like 1
K12741	Genetic Information Processing	Transcription	Spliceosome	HNRNPA1_3; heterogeneous nuclear ribonucleoprotein A1/A3
K12742	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	ispS; isoprene synthase
K12743	Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	PCBAB; N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase
K12744	Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	cefE; deacetoxycephalosporin-C synthase
K12745	Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	cefF; deacetoxycephalosporin-C hydroxylase
K12747	Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	CEFG; deacetylcephalosporin-C acetyltransferase
K12748	Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	gca; glutaryl-7-aminocephalosporanic-acid acylase
K12749	Organismal Systems	Circulatory system	Cardiac_muscle_contraction	MYL3; myosin light chain 3
K12750	Organismal Systems	Circulatory system	Cardiac_muscle_contraction	MYL4; myosin light chain 4
K12751	Organismal Systems	Endocrine system	Oxytocin_signaling_pathway	MYL6; myosin light chain 6
K12753	Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton	MYL5; myosin regulatory light chain 5
K12754	Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton	MYL7; myosin regulatory light chain 7
K12755	Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	MYL9; myosin regulatory light chain 9
K12756	Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton	MYL10; myosin regulatory light chain 10
K12757	Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton	MYL12; myosin regulatory light chain 12
K12758	Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton	MYLPF; fast skeletal myosin light chain 2
K12760	Cellular Processes	Cell growth and death	Cell_cycle_-_yeast	CLN1; G1/S-specific cyclin CLN1
K12761	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SNF1; carbon catabolite-derepressing protein kinase
K12762	Cellular Processes	Cell growth and death	Meiosis_-_yeast	K12762 GPR1; G protein-coupled receptor GPR1
K12763	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SOK2; protein SOK2
K12764	Cellular Processes	Cell growth and death	Meiosis_-_yeast	IME1; meiosis-inducing protein 1
K12765	Cellular Processes	Cell growth and death	Meiosis_-_yeast	IME2; meiosis induction protein kinase IME2/SME1
K12766	Cellular Processes	Cell growth and death	Meiosis_-_yeast	MDS1 RIM11; serine/threonine-protein kinase MDS1/RIM11
K12767	Cellular Processes	Cell growth and death	Meiosis_-_yeast	RIM15; serine/threonine-protein kinase RIM15
K12768	Cellular Processes	Cell growth and death	Meiosis_-_yeast	ZIP1; synaptonemal complex protein ZIP1
K12769	Cellular Processes	Cell growth and death	Meiosis_-_yeast	NDT80; meiosis-specific transcription factor NDT80
K12770	Cellular Processes	Cell growth and death	Meiosis_-_yeast	GIP1; GLC7-interacting protein 1
K12771	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SPS1; sporulation-specific protein 1
K12772	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SPS4; sporulation-specific protein 4
K12773	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SPR3; sporulation-regulated protein 3
K12774	Cellular Processes	Cell growth and death	Meiosis_-_yeast	MAM1; monopolin complex subunit MAM1
K12775	Cellular Processes	Cell growth and death	Meiosis_-_yeast	LRS4; monopolin complex subunit LRS4
K12776	Cellular Processes	Cell growth and death	Meiosis_-_yeast	MEK1; meiosis-specific serine/threonine-protein kinase MEK1
K12777	Cellular Processes	Cell growth and death	Meiosis_-_yeast	RED1; protein RED1
K12778	Cellular Processes	Cell growth and death	Meiosis_-_yeast	HOP1; meiosis-specific protein HOP1
K12779	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SUM1; suppressor of MAR1-1 protein
K12780	Cellular Processes	Cell growth and death	Meiosis_-_yeast	REC8; meiotic recombination protein REC8 fungi type
K12781	Cellular Processes	Cell growth and death	Meiosis_-_yeast	MND2; anaphase-promoting complex subunit MND2
K12782	Cellular Processes	Cell growth and death	Meiosis_-_yeast	AMA1; meiosis-specific APC/C activator protein AMA1
K12783	Cellular Processes	Cell growth and death	Meiosis_-_yeast	SSP1; sporulation-specific protein 1
K12784	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	tir; translocated intimin receptor
K12785	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	espG virA; LEE-encoded effector EspG
K12786	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	espF; LEE-encoded effector EspF
K12787	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	map; LEE-encoded effector Map
K12788	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	espH; LEE-encoded effector EspH
K12789	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	tccP; Tir-cytoskeleton coupling protein
K12790	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	eae; intimin
K12791	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	ARHGEF2 GEF-H1; Rho guanine nucleotide exchange factor 2
K12792	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	TRIP6; thyroid receptor-interacting protein 6
K12793	Environmental Information Processing	Signal transduction	NF-kappa_B_signaling_pathway	MAP3K7IP3 TAB3; TAK1-binding protein 3
K12794	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	CARD9; caspase recruitment domain-containing protein 9
K12795	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	SUGT1 SGT1; suppressor of G2 allele of SKP1
K12796	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	ERBB2IP ERBIN; erbb2-interacting protein
K12797	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	CARD6; caspase recruitment domain-containing protein 6
K12798	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	NLRP1 CARD7; NACHT LRR and PYD domains-containing protein 1
K12799	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	PYCARD ASC; apoptosis-associated speck-like protein containing a CARD
K12800	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	NLRP3 PYPAF1; NACHT LRR and PYD domains-containing protein 3
K12801	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	CARD8 CARDINAL; caspase recruitment domain-containing protein 8
K12802	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	PYDC1; pyrin domain-containing protein 1
K12803	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	MEFV; pyrin
K12804	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	PSTPIP1; proline-serine-threonine phosphatase interacting protein 1
K12805	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	NLRC4 CARD12; NLR family CARD domain-containing protein 4
K12806	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	CARD18 ICEBERG; caspase recruitment domain-containing protein 18
K12807	Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	NAIP BIRC1; baculoviral IAP repeat-containing protein 1
K12809	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	espG2; T3SS secreted effector EspG-like protein
K12810	Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection	bfpA; major structural subunit of bundle-forming pilus
K12811	Genetic Information Processing	Transcription	Spliceosome	DDX46 PRP5; ATP-dependent RNA helicase DDX46/PRP5
K12812	Genetic Information Processing	Transcription	Spliceosome	UAP56 BAT1 SUB2; ATP-dependent RNA helicase UAP56/SUB2
K12813	Genetic Information Processing	Transcription	Spliceosome	DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
K12814	Genetic Information Processing	Transcription	Spliceosome	PRP2; pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2
K12815	Genetic Information Processing	Transcription	Spliceosome	DHX38 PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16
K12816	Genetic Information Processing	Transcription	Spliceosome	CDC40 PRP17; pre-mRNA-processing factor 17
K12817	Genetic Information Processing	Transcription	Spliceosome	PRPF18 PRP18; pre-mRNA-splicing factor 18
K12818	Genetic Information Processing	Transcription	Spliceosome	DHX8 PRP22; ATP-dependent RNA helicase DHX8/PRP22
K12819	Genetic Information Processing	Transcription	Spliceosome	SLU7; pre-mRNA-processing factor SLU7
K12820	Genetic Information Processing	Transcription	Spliceosome	DHX15 PRP43; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43
K12821	Genetic Information Processing	Transcription	Spliceosome	PRPF40 PRP40; pre-mRNA-processing factor 40
K12822	Genetic Information Processing	Transcription	Spliceosome	RBM25 S164; RNA-binding protein 25
K12823	Genetic Information Processing	Transcription	Spliceosome	DDX5 DBP2; ATP-dependent RNA helicase DDX5/DBP2
K12824	Genetic Information Processing	Transcription	Spliceosome	TCERG1 CA150; transcription elongation regulator 1
K12825	Genetic Information Processing	Transcription	Spliceosome	SF3A1 SAP114; splicing factor 3A subunit 1
K12826	Genetic Information Processing	Transcription	Spliceosome	SF3A2 SAP62; splicing factor 3A subunit 2
K12827	Genetic Information Processing	Transcription	Spliceosome	SF3A3 SAP61 PRP9; splicing factor 3A subunit 3
K12828	Genetic Information Processing	Transcription	Spliceosome	SF3B1 SAP155; splicing factor 3B subunit 1
K12829	Genetic Information Processing	Transcription	Spliceosome	SF3B2 SAP145 CUS1; splicing factor 3B subunit 2
K12830	Genetic Information Processing	Transcription	Spliceosome	SF3B3 SAP130 RSE1; splicing factor 3B subunit 3
K12831	Genetic Information Processing	Transcription	Spliceosome	SF3B4 SAP49; splicing factor 3B subunit 4
K12832	Genetic Information Processing	Transcription	Spliceosome	SF3B5 SF3B10; splicing factor 3B subunit 5
K12833	Genetic Information Processing	Transcription	Spliceosome	SF3B14; pre-mRNA branch site protein p14
K12834	Genetic Information Processing	Transcription	Spliceosome	PHF5A; PHD finger-like domain-containing protein 5A
K12835	Genetic Information Processing	Transcription	Spliceosome	DDX42 SF3B125; ATP-dependent RNA helicase DDX42
K12836	Genetic Information Processing	Transcription	Spliceosome	U2AF1; splicing factor U2AF 35 kDa subunit
K12837	Genetic Information Processing	Transcription	Spliceosome	U2AF2; splicing factor U2AF 65 kDa subunit
K12838	Genetic Information Processing	Transcription	Spliceosome	PUF60; poly(U)-binding-splicing factor PUF60
K12839	Genetic Information Processing	Transcription	Spliceosome	SMNDC1 SPF30; survival of motor neuron-related-splicing factor 30
K12840	Genetic Information Processing	Transcription	Spliceosome	RBM17 SPF45; splicing factor 45
K12841	Genetic Information Processing	Transcription	Spliceosome	CHERP; calcium homeostasis endoplasmic reticulum protein
K12842	Genetic Information Processing	Transcription	Spliceosome	SR140; U2-associated protein SR140
K12843	Genetic Information Processing	Transcription	Spliceosome	PRPF3 PRP3; U4/U6 small nuclear ribonucleoprotein PRP3
K12844	Genetic Information Processing	Transcription	Spliceosome	PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31
K12845	Genetic Information Processing	Transcription	Spliceosome	SNU13 NHP2L; U4/U6 small nuclear ribonucleoprotein SNU13
K12846	Genetic Information Processing	Transcription	Spliceosome	SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3
K12847	Genetic Information Processing	Transcription	Spliceosome	USP39 SAD1; U4/U6.U5 tri-snRNP-associated protein 2
K12848	Genetic Information Processing	Transcription	Spliceosome	SNU23; U4/U6.U5 tri-snRNP component SNU23
K12849	Genetic Information Processing	Transcription	Spliceosome	PRPF38A; pre-mRNA-splicing factor 38A
K12850	Genetic Information Processing	Transcription	Spliceosome	PRPF38B; pre-mRNA-splicing factor 38B
K12851	Genetic Information Processing	Transcription	Spliceosome	PRP38; pre-mRNA-splicing factor 38
K12852	Genetic Information Processing	Transcription	Spliceosome	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component
K12853	Genetic Information Processing	Transcription	Spliceosome	SNU114; 114 kDa U5 small nuclear ribonucleoprotein component
K12854	Genetic Information Processing	Transcription	Spliceosome	SNRNP200 BRR2; pre-mRNA-splicing helicase BRR2
K12855	Genetic Information Processing	Transcription	Spliceosome	PRPF6 PRP6; pre-mRNA-processing factor 6
K12856	Genetic Information Processing	Transcription	Spliceosome	PRPF8 PRP8; pre-mRNA-processing factor 8
K12857	Genetic Information Processing	Transcription	Spliceosome	SNRNP40 PRP8BP; Prp8 binding protein
K12858	Genetic Information Processing	Transcription	Spliceosome	DDX23 PRP28; ATP-dependent RNA helicase DDX23/PRP28
K12859	Genetic Information Processing	Transcription	Spliceosome	TXNL4A DIB1; U5 snRNP protein DIM1 family
K12860	Genetic Information Processing	Transcription	Spliceosome	CDC5L CDC5 CEF1; pre-mRNA-splicing factor CDC5/CEF1
K12861	Genetic Information Processing	Transcription	Spliceosome	BCAS2; pre-mRNA-splicing factor SPF27
K12862	Genetic Information Processing	Transcription	Spliceosome	PLRG1 PRL1 PRP46; pleiotropic regulator 1
K12863	Genetic Information Processing	Transcription	Spliceosome	CWC15; protein CWC15
K12864	Genetic Information Processing	Transcription	Spliceosome	CTNNBL1; beta-catenin-like protein 1
K12865	Genetic Information Processing	Transcription	Spliceosome	PQBP1 NPW38; polyglutamine-binding protein 1
K12866	Genetic Information Processing	Transcription	Spliceosome	WBP11 NPWBP; WW domain-binding protein 11
K12867	Genetic Information Processing	Transcription	Spliceosome	SYF1 XAB2; pre-mRNA-splicing factor SYF1
K12868	Genetic Information Processing	Transcription	Spliceosome	SYF2; pre-mRNA-splicing factor SYF2
K12869	Genetic Information Processing	Transcription	Spliceosome	CRN CRNKL1 CLF1 SYF3; crooked neck
K12870	Genetic Information Processing	Transcription	Spliceosome	ISY1; pre-mRNA-splicing factor ISY1
K12871	Genetic Information Processing	Transcription	Spliceosome	CCDC12; coiled-coil domain-containing protein 12
K12872	Genetic Information Processing	Transcription	Spliceosome	RBM22 SLT11; pre-mRNA-splicing factor RBM22/SLT11
K12873	Genetic Information Processing	Transcription	Spliceosome	BUD31 G10; bud site selection protein 31
K12874	Genetic Information Processing	Transcription	Spliceosome	AQR; intron-binding protein aquarius
K12875	Genetic Information Processing	Transcription	Spliceosome	ACIN1 ACINUS; apoptotic chromatin condensation inducer in the nucleus
K12876	Genetic Information Processing	Transcription	Spliceosome	RBM8A Y14; RNA-binding protein 8A
K12877	Genetic Information Processing	Transcription	Spliceosome	MAGOH; protein mago nashi
K12878	Genetic Information Processing	Transcription	Spliceosome	THOC1; THO complex subunit 1
K12879	Genetic Information Processing	Transcription	Spliceosome	THOC2; THO complex subunit 2
K12880	Genetic Information Processing	Transcription	Spliceosome	THOC3; THO complex subunit 3
K12881	Genetic Information Processing	Transcription	Spliceosome	THOC4 ALY; THO complex subunit 4
K12882	Genetic Information Processing	Transcription	Spliceosome	NCBP1 CBP80; nuclear cap-binding protein subunit 1
K12883	Genetic Information Processing	Transcription	Spliceosome	NCBP2 CBP20; nuclear cap-binding protein subunit 2
K12884	Genetic Information Processing	Transcription	Spliceosome	HNRNPC; heterogeneous nuclear ribonucleoprotein C1/C2
K12885	Genetic Information Processing	Transcription	Spliceosome	RBMX HNRNPG; heterogeneous nuclear ribonucleoprotein G
K12886	Genetic Information Processing	Transcription	Spliceosome	HNRNPK; heterogeneous nuclear ribonucleoprotein K
K12887	Genetic Information Processing	Transcription	Spliceosome	HNRNPM; heterogeneous nuclear ribonucleoprotein M
K12888	Genetic Information Processing	Transcription	Spliceosome	HNRNPU; heterogeneous nuclear ribonucleoprotein U
K12889	Genetic Information Processing	Transcription	Spliceosome	PCBP1; poly(rC)-binding protein 1
K12890	Genetic Information Processing	Transcription	Spliceosome	SFRS1_9; splicing factor arginine/serine-rich 1/9
K12891	Genetic Information Processing	Transcription	Spliceosome	SFRS2; splicing factor arginine/serine-rich 2
K12892	Genetic Information Processing	Transcription	Spliceosome	SFRS3; splicing factor arginine/serine-rich 3
K12893	Genetic Information Processing	Transcription	Spliceosome	SFRS4_5_6; splicing factor arginine/serine-rich 4/5/6
K12896	Genetic Information Processing	Transcription	Spliceosome	SFRS7; splicing factor arginine/serine-rich 7
K12897	Genetic Information Processing	Transcription	Spliceosome	TRA2; transformer-2 protein
K12900	Genetic Information Processing	Transcription	Spliceosome	FUSIP1; FUS-interacting serine-arginine-rich protein 1
K12901	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	fomC; phosphonoacetaldehyde reductase
K12902	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	fom3; phosphonoacetaldehyde methylase
K12903	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	fom4; (S)-2-hydroxypropylphosphonic acid epoxidase
K12904	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpC; phosphonoacetaldehyde reductase
K12905	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpD; 2-hydroxyethylphosphonate dioxygenase
K12906	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpE; D-3-phosphoglycerate dehydrogenase
K12907	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpJ; aldehyde dehydrogenase
K12908	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpF; phosphinothricin biosynthesis protein PhpF
K12909	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpI; carboxyphosphoenolpyruvate mutase
K12910	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	pms; 2-phosphinomethylmalic acid synthase
K12911	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	K12911 phsA; peptide synthetase PhsA
K12912	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	K12912 phsB; peptide synthetase PhsB
K12913	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	K12913 phsC; peptide synthetase PhsC
K12914	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	phpK; p-methyltransferase
K12915	Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism	dea; phosphinothricin tripeptide acetyl hydrolase
K12917	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	P450I; cytochrome P450 monooxygenase 1
K12918	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	P450II; cytochrome P450 monooxygenase 2
K12919	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	P450III; cytochrome P450 monooxygenase 3
K12920	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	K12920 DES; GA4 desaturase
K12921	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	TDC1; taxadiene synthase
K12922	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	CYP725A2; taxane 13-alpha-hydroxylase
K12923	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	E2.3.1.162; taxadien-5-alpha-ol O-acetyltransferase
K12924	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	CYP725A1; taxane 10-beta-hydroxylase
K12925	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	TBT; 2-alpha-hydroxytaxane 2-O-benzoyltransferase
K12926	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	DBAT; 10-deacetylbaccatin III 10-O-acetyltransferase
K12927	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	AG22; abietadiene synthase/copalyl diphosphate synthase
K12928	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	K12928 ACS; aphidicolan-16beta-ol synthase/syn-copalyl-diphosphate synthase
K12929	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis	E4.2.3.8; casbene synthase
K12930	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	BZ1; anthocyanidin 3-O-glucosyltransferase
K12931	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	3MaT1; anthocyanin 3-O-glucoside-6''-O-malonyltransferase
K12932	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	3MaT2; anthocyanidin 3-O-glucoside-3''6''-O-dimalonyltransferase
K12933	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	3GGT; anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
K12934	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	5MaT1; anthocyanin 5-O-glucoside-6'''-O-malonyltransferase
K12935	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	5MaT2; anthocyanin 5-O-glucoside-4'''-O-malonyltransferase
K12936	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	5AT; anthocyanin 5-aromatic acyltransferase
K12937	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	UGAT; cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase
K12938	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	GT1; anthocyanidin 53-O-glucosyltransferase
K12939	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis	3GT; anthocyanin 3'-O-beta-glucosyltransferase
K12946	Genetic Information Processing	Folding sorting and degradation	Protein_export	SPCS1; signal peptidase complex subunit 1
K12947	Genetic Information Processing	Folding sorting and degradation	Protein_export	SPCS2 SPC2; signal peptidase complex subunit 2
K12948	Genetic Information Processing	Folding sorting and degradation	Protein_export	SPCS3 SPC3; signal peptidase complex subunit 3
K12958	Cellular Processes	Transport and catabolism	Endocytosis	CAV2; caveolin 2
K12959	Cellular Processes	Transport and catabolism	Endocytosis	CAV3; caveolin 3
K12962	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	arnE; undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE
K12963	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	arnF; undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnF
K12964	Environmental Information Processing	Signal transduction	NF-kappa_B_signaling_pathway	CCL4; C-C motif chemokine 4
K12965	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	ZBP1 DAI; Z-DNA binding protein 1
K12966	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	AIM2; absent in melanoma 2
K12967	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	IL33; interleukin 33
K12968	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	ADAR ADAR1; double-stranded RNA-specific adenosine deaminase
K12969	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	E3L; protein E3
K12970	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	M45; ribonucleoside-diphosphate reductase
K12971	Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway	IFI202; interferon-activable protein 202
K12972	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	ghrA; glyoxylate/hydroxypyruvate reductase A
K12973	Human Diseases	Infectious diseases	Pertussis	pagP; palmitoyl transferase
K12975	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	eptB; phosphoethanolamine transferase
K13010	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	per rfbE; perosamine synthetase
K13014	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase
K13015	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase
K13016	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
